sequence_id,split,rows,duration_s,est_hz,window_len,n_windows,n_blackout_windows,blackout_seconds,gnss_available_frac,timeline_parquet,windows_npz
Vtb03,train,8240,823.9,10.0,20,8221,0,0.0,1.0,processed\train\Vtb03.parquet,processed\train\Vtb03_windows.npz
Vtb05,train,64388,6438.7,10.0,20,64369,53,1584.7,0.748,processed\train\Vtb05.parquet,processed\train\Vtb05_windows.npz
Vtb08,train,668,66.7,10.0,20,649,1,29.9,0.551,processed\train\Vtb08.parquet,processed\train\Vtb08_windows.npz
Vw02,test,52712,5271.1,10.0,20,52693,42,1256.1,0.761,processed\test\Vw02.parquet,processed\test\Vw02_windows.npz
Vw03,validation,3861,386.0,10.0,20,3842,3,89.7,0.767,processed\validation\Vw03.parquet,processed\validation\Vw03_windows.npz
Vw04,train,126526,12652.5,10.0,20,126507,96,2870.3,0.77,processed\train\Vw04.parquet,processed\train\Vw04_windows.npz
Vw05,train,1012,101.1,10.0,20,993,1,29.9,0.704,processed\train\Vw05.parquet,processed\train\Vw05_windows.npz
Vw10,train,652,65.1,10.0,20,633,1,29.9,0.54,processed\train\Vw10.parquet,processed\train\Vw10_windows.npz
Vw11,train,4909,490.8,10.0,20,4890,4,119.5,0.754,processed\train\Vw11.parquet,processed\train\Vw11_windows.npz
Vw12,train,918,91.7,10.0,20,899,1,29.9,0.673,processed\train\Vw12.parquet,processed\train\Vw12_windows.npz
Vw14a,train,3138,313.7,10.0,20,3119,3,89.9,0.713,processed\train\Vw14a.parquet,processed\train\Vw14a_windows.npz
Vw14b,train,19588,1958.7,10.0,20,19569,16,478.4,0.755,processed\train\Vw14b.parquet,processed\train\Vw14b_windows.npz
Vw14c,train,15826,1582.5,10.0,20,15807,10,299.2,0.81,processed\train\Vw14c.parquet,processed\train\Vw14c_windows.npz
Vw16a,validation,5879,587.8,10.0,20,5860,4,119.5,0.787,processed\validation\Vw16a.parquet,processed\validation\Vw16a_windows.npz
Vw16b,validation,1126,112.5,10.0,20,1107,1,29.9,0.734,processed\validation\Vw16b.parquet,processed\validation\Vw16b_windows.npz
